zipcode,state,city,zone
85254,AZ,Scottsdale,4
85255,AZ,Scottsdale,4
85256,AZ,Scottsdale,4
85257,AZ,Scottsdale,4
85258,AZ,Scottsdale,4
85259,AZ,Scottsdale,4
85260,AZ,Scottsdale,4
85262,AZ,Scottsdale,4
85263,AZ,Rio Verde,4
85264,AZ,Fort Mcdowell,4
85266,AZ,Scottsdale,4
85268,AZ,Fountain Hills,4
85281,AZ,Tempe,4
85282,AZ,Tempe,4
85283,AZ,Tempe,4
85284,AZ,Tempe,4
85286,AZ,Chandler,4
85288,AZ,Tempe,4
85295,AZ,Gilbert,4
85296,AZ,Gilbert,4
85297,AZ,Gilbert,4
85298,AZ,Gilbert,4
85301,AZ,Glendale,4
85302,AZ,Glendale,4
85303,AZ,Glendale,4
85304,AZ,Glendale,4
85305,AZ,Glendale,4
85306,AZ,Glendale,4
85307,AZ,Glendale,4
85308,AZ,Glendale,4
85310,AZ,Glendale,4
85322,AZ,Arlington,4
85323,AZ,Avondale,4
85324,AZ,Black Canyon City,4
85326,AZ,Buckeye,4
85331,AZ,Cave Creek,4
85335,AZ,El Mirage,4
85338,AZ,Goodyear,4
85339,AZ,Laveen,4
85340,AZ,Litchfield Park,4
85342,AZ,Morristown,4
85345,AZ,Peoria,4
85351,AZ,Sun City,4
85353,AZ,Tolleson,4
85355,AZ,Waddell,4
85361,AZ,Wittmann,4
85363,AZ,Youngtown,4
85373,AZ,Sun City,4
85374,AZ,Surprise,4
85375,AZ,Sun City West,4
85377,AZ,Carefree,4
85378,AZ,Surprise,4
85379,AZ,Surprise,4
85381,AZ,Peoria,4
85382,AZ,Peoria,4
85383,AZ,Peoria,4
85387,AZ,Surprise,4
85388,AZ,Surprise,4
85392,AZ,Avondale,4
85395,AZ,Goodyear,4
85396,AZ,Buckeye,4
6807,CT,Cos Cob,8
6830,CT,Greenwich,8
6831,CT,Greenwich,8
6870,CT,Old Greenwich,8
6878,CT,Riverside,8
6902,CT,Stamford,8
7001,NJ,Avenel,8
7002,NJ,Bayonne,8
7003,NJ,Bloomfield,8
7004,NJ,Fairfield,8
7006,NJ,Caldwell,8
7008,NJ,Carteret,8
7009,NJ,Cedar Grove,8
7010,NJ,Cliffside Park,8
7011,NJ,Clifton,8
7012,NJ,Clifton,8
7013,NJ,Clifton,8
7014,NJ,Clifton,8
7016,NJ,Cranford,8
7017,NJ,East Orange,8
7018,NJ,East Orange,8
7020,NJ,Edgewater,8
7021,NJ,Essex Fells,8
7022,NJ,Fairview,8
7023,NJ,Fanwood,8
7024,NJ,Fort Lee,8
7026,NJ,Garfield,8
7027,NJ,Garwood,8
7028,NJ,Glen Ridge,8
7029,NJ,Harrison,8
7030,NJ,Hoboken,8
7031,NJ,North Arlington,8
7032,NJ,Kearny,8
7033,NJ,Kenilworth,8
7034,NJ,Lake Hiawatha,8
7035,NJ,Lincoln Park,8
7036,NJ,Linden,8
7039,NJ,Livingston,8
7040,NJ,Maplewood,8
7041,NJ,Millburn,8
7042,NJ,Montclair,8
7043,NJ,Montclair,8
7044,NJ,Verona,8
7045,NJ,Montville,8
7047,NJ,North Bergen,8
7050,NJ,Orange,8
7052,NJ,West Orange,8
7054,NJ,Parsippany,8
7055,NJ,Passaic,8
7057,NJ,Wallington,8
7058,NJ,Pine Brook,8
7059,NJ,Warren,8
7060,NJ,Plainfield,8
7062,NJ,Plainfield,8
7063,NJ,Plainfield,8
7064,NJ,Port Reading,8
7065,NJ,Rahway,8
7066,NJ,Clark,8
7067,NJ,Colonia,8
7068,NJ,Roseland,8
7069,NJ,Watchung,8
7070,NJ,Rutherford,8
7071,NJ,Lyndhurst,8
7072,NJ,Carlstadt,8
7073,NJ,East Rutherford,8
7074,NJ,Moonachie,8
7075,NJ,Wood Ridge,8
7076,NJ,Scotch Plains,8
7077,NJ,Sewaren,8
7078,NJ,Short Hills,8
7079,NJ,South Orange,8
7080,NJ,South Plainfield,8
7081,NJ,Springfield,8
7082,NJ,Towaco,8
7083,NJ,Union,8
7086,NJ,Weehawken,8
7087,NJ,Union City,8
7088,NJ,Vauxhall,8
7090,NJ,Westfield,8
7092,NJ,Mountainside,8
7093,NJ,West New York,8
7094,NJ,Secaucus,8
7095,NJ,Woodbridge,8
7102,NJ,Newark,8
7103,NJ,Newark,8
7104,NJ,Newark,8
7105,NJ,Newark,8
7106,NJ,Newark,8
7107,NJ,Newark,8
7108,NJ,Newark,8
7109,NJ,Belleville,8
7110,NJ,Nutley,8
7111,NJ,Irvington,8
7112,NJ,Newark,8
7114,NJ,Newark,8
7201,NJ,Elizabeth,8
7202,NJ,Elizabeth,8
7203,NJ,Roselle,8
7204,NJ,Roselle Park,8
7205,NJ,Hillside,8
7206,NJ,Elizabethport,8
7208,NJ,Elizabeth,8
7302,NJ,Jersey City,8
7304,NJ,Jersey City,8
7305,NJ,Jersey City,8
7306,NJ,Jersey City,8
7307,NJ,Jersey City,8
7310,NJ,Jersey City,8
7311,NJ,Jersey City,8
7401,NJ,Allendale,8
7407,NJ,Elmwood Park,8
7410,NJ,Fair Lawn,8
7417,NJ,Franklin Lakes,8
7423,NJ,Ho Ho Kus,8
7424,NJ,Little Falls,8
7430,NJ,Mahwah,8
7432,NJ,Midland Park,8
7436,NJ,Oakland,8
7440,NJ,Pequannock,8
7442,NJ,Pompton Lakes,8
7444,NJ,Pompton Plains,8
7446,NJ,Ramsey,8
7450,NJ,Ridgewood,8
7452,NJ,Glen Rock,8
7458,NJ,Saddle River,8
7463,NJ,Waldwick,8
7470,NJ,Wayne,8
7481,NJ,Wyckoff,8
7501,NJ,Paterson,8
7502,NJ,Paterson,8
7503,NJ,Paterson,8
7504,NJ,Paterson,8
7505,NJ,Paterson,8
7506,NJ,Hawthorne,8
7508,NJ,Haledon,8
7512,NJ,Totowa,8
7513,NJ,Paterson,8
7514,NJ,Paterson,8
7522,NJ,Paterson,8
7524,NJ,Paterson,8
7601,NJ,Hackensack,8
7603,NJ,Bogota,8
7604,NJ,Hasbrouck Heights,8
7605,NJ,Leonia,8
7606,NJ,South Hackensack,8
7607,NJ,Maywood,8
7608,NJ,Teterboro,8
7620,NJ,Alpine,8
7621,NJ,Bergenfield,8
7624,NJ,Closter,8
7626,NJ,Cresskill,8
7627,NJ,Demarest,8
7628,NJ,Dumont,8
7630,NJ,Emerson,8
7631,NJ,Englewood,8
7632,NJ,Englewood Cliffs,8
7640,NJ,Harrington Park,8
7641,NJ,Haworth,8
7642,NJ,Hillsdale,8
7643,NJ,Little Ferry,8
7644,NJ,Lodi,8
7645,NJ,Montvale,8
7646,NJ,New Milford,8
7647,NJ,Northvale,8
7648,NJ,Norwood,8
7649,NJ,Oradell,8
7650,NJ,Palisades Park,8
7652,NJ,Paramus,8
7656,NJ,Park Ridge,8
7657,NJ,Ridgefield,8
7660,NJ,Ridgefield Park,8
7661,NJ,River Edge,8
7662,NJ,Rochelle Park,8
7663,NJ,Saddle Brook,8
7666,NJ,Teaneck,8
7670,NJ,Tenafly,8
7675,NJ,Westwood,8
7676,NJ,Township Of Washington,8
7677,NJ,Woodcliff Lake,8
7701,NJ,Red Bank,8
7702,NJ,Shrewsbury,8
7703,NJ,Fort Monmouth,8
7704,NJ,Fair Haven,8
7711,NJ,Allenhurst,8
7712,NJ,Asbury Park,8
7716,NJ,Atlantic Highlands,8
7717,NJ,Avon By The Sea,8
7718,NJ,Belford,8
7719,NJ,Belmar,8
7720,NJ,Bradley Beach,8
7721,NJ,Cliffwood,8
7722,NJ,Colts Neck,8
7723,NJ,Deal,8
7724,NJ,Eatontown,8
7726,NJ,Englishtown,8
7727,NJ,Farmingdale,8
7728,NJ,Freehold,8
7730,NJ,Hazlet,8
7731,NJ,Howell,8
7732,NJ,Highlands,8
7733,NJ,Holmdel,8
7734,NJ,Keansburg,8
7735,NJ,Keyport,8
7737,NJ,Leonardo,8
7738,NJ,Lincroft,8
7739,NJ,Little Silver,8
7740,NJ,Long Branch,8
7746,NJ,Marlboro,8
7747,NJ,Matawan,8
7748,NJ,Middletown,8
7750,NJ,Monmouth Beach,8
7751,NJ,Morganville,8
7753,NJ,Neptune,8
7755,NJ,Oakhurst,8
7756,NJ,Ocean Grove,8
7757,NJ,Oceanport,8
7758,NJ,Port Monmouth,8
7760,NJ,Rumson,8
7762,NJ,Spring Lake,8
7764,NJ,West Long Branch,8
7901,NJ,Summit,8
7920,NJ,Basking Ridge,8
7921,NJ,Bedminster,8
7922,NJ,Berkeley Heights,8
7924,NJ,Bernardsville,8
7927,NJ,Cedar Knolls,8
7928,NJ,Chatham,8
7931,NJ,Far Hills,8
7932,NJ,Florham Park,8
7933,NJ,Gillette,8
